TIME_PERIOD,Denmark,Finland,Iceland,Norway,Sweden
2000,0.194,0.264,0.185,0.124,0.144
2001,0.199,0.286,0.173,0.126,0.14
2002,0.197,0.292,0.181,0.122,0.141
2003,0.216,0.324,0.176,0.131,0.141
2004,0.19,0.294,0.168,0.128,0.131
2005,0.174,0.234,0.155,0.121,0.119
2006,0.195,0.272,0.148,0.121,0.11
2007,0.177,0.251,0.141,0.12,0.103
2008,0.167,0.216,0.126,0.117,0.101
2009,0.17,0.226,0.134,0.12,0.098
2010,0.168,0.252,0.129,0.129,0.104
2011,0.147,0.216,0.122,0.124,0.093
2012,0.13,0.197,0.12,0.12,0.088
2013,0.134,0.202,0.125,0.121,0.084
2014,0.118,0.186,0.124,0.119,0.079
2015,0.108,0.171,0.119,0.119,0.075
2016,0.109,0.178,0.089,0.116,0.073
2017,0.1,0.162,0.087,0.112,0.07
2018,0.098,0.165,0.085,0.11,0.064
2019,0.085,0.151,0.08,0.106,0.062
2020,0.08,0.136,0.075,0.103,0.061
