TIME_PERIOD,Europe and Northern America,Northern Africa and Western Asia,Sub-Saharan Africa,Central and Southern Asia,Eastern and South-Eastern Asia,Oceania,Latin America and the Caribbean
2000,60,35,3,6,5,0,60
2001,62,62,2,6,5,1,61
2002,69,62,2,7,5,2,57
2003,70,63,2,6,8,2,55
2004,74,68,2,7,10,41,57
2005,74,72,2,6,57,43,55
2006,75,70,2,7,66,44,54
2007,75,73,2,6,69,45,52
2008,76,68,2,6,80,41,55
2009,75,69,3,10,84,42,60
2010,79,69,2,12,85,45,60
2011,80,70,2,31,87,55,67
2012,84,70,4,41,86,56,66
2013,88,76,4,55,89,58,61
2014,89,79,8,62,83,58,73
2015,89,83,15,69,84,58,71
2016,89,85,20,76,88,58,74
2017,91,85,22,79,89,58,69
2018,91,84,24,81,89,59,80
2019,92,84,32,83,90,67,63
2020,91,84,34,81,87,69,63
